InventoryID,SKU_ID,InventoryName,Location,Status,Quantity,Price
2001,SKU102,Office Chair,Houston Warehouse A,In Stock,38,89.99
2002,SKU215,Wooden Desk,Dallas Warehouse B,Low Stock,5,249.99
2003,SKU331,Bookshelf,Houston Warehouse A,Out of Stock,0,129.99
2004,SKU120,Standing Desk,Austin Warehouse C,In Stock,30,399.99
2005,SKU410,Coffee Table,Houston Warehouse B,In Stock,22,149.99
2006,SKU222,Desk Lamp,Dallas Warehouse B,Reserved,12,39.99
2007,SKU305,Filing Cabinet,Austin Warehouse C,In Stock,18,179.99
2008,SKU118,Gaming Chair,Houston Warehouse A,Low Stock,5,199.99
2009,SKU500,Sectional Sofa,Dallas Warehouse A,In Stock,10,899.99
2011,SKU199,Nightstand,Austin Warehouse C,Out of Stock,0,119.99
2012,SKU145,Office Desk,Houston Warehouse A,In Stock,22,299.99
2013,SKU360,TV Stand,Dallas Warehouse B,Low Stock,6,219.99
2014,SKU402,Recliner Chair,Houston Warehouse B,Reserved,8,349.99
2015,SKU111,Bed Frame,Austin Warehouse C,In Stock,16,459.99
2016,SKU290,Bar Stool,Houston Warehouse A,In Stock,28,79.99
2017,SKU330,Storage Cabinet,Dallas Warehouse A,Out of Stock,0,259.99
2018,SKU150,End Table,Houston Warehouse B,Low Stock,7,89.99
2019,SKU220,Computer Desk,Austin Warehouse C,Reserved,9,329.99
2020,SKU180,Mattress,Dallas Warehouse B,In Stock,20,699.99
2021,SKU415,Wardrobe,Houston Warehouse A,In Stock,11,549.99
2022,SKU390,Office Drawer,Houston Warehouse B,Low Stock,3,139.99
2023,SKU205,Bookshelf Small,Austin Warehouse C,In Stock,26,99.99
2024,SKU101,Gaming Chair,Dallas Warehouse C,In Stock,20,129.99
2025,SKU103,Dining Table,Houston Warehouse A,Low Stock,5,199.99
2026,SKU104,Dining Table,Dallas Warehouse A,In Stock,8,129.99
