OrderID,CustomerID,SKU_ID,OrderStatus,PurchaseDate,EstimatedDelivery
1001,7,SKU331,Processing,2026-04-20,2026-04-25
1002,3,SKU102,Shipped,2026-03-15,2026-03-20
1003,11,SKU120,Delivered,2026-01-05,2026-01-10
1004,1,SKU215,Delivered,2026-02-10,2026-02-14
1005,7,SKU360,Shipped,2026-03-25,2026-03-30
1006,2,SKU222,Shipped,2026-04-10,2026-04-15
1007,5,SKU410,Cancelled,2026-03-01,2026-03-06
1008,9,SKU305,Delivered,2026-02-22,2026-02-27
1009,3,SKU145,Delivered,2026-02-12,2026-02-17
1010,11,SKU111,Processing,2026-04-21,2026-04-26
1011,6,SKU500,Shipped,2026-03-18,2026-03-23
1012,1,SKU402,Delivered,2026-01-18,2026-01-23
1013,8,SKU275,Delivered,2026-01-30,2026-02-04
1014,4,SKU118,Processing,2026-04-22,2026-04-28
1015,10,SKU199,Processing,2026-04-23,2026-04-29
1016,5,SKU290,Shipped,2026-03-05,2026-03-10
1017,2,SKU330,Delivered,2026-02-14,2026-02-19
1018,9,SKU410,Processing,2026-04-19,2026-04-24
1019,6,SKU275,Delivered,2026-01-25,2026-01-30
1020,8,SKU150,Shipped,2026-03-12,2026-03-17
1021,3,SKU220,Cancelled,2026-04-01,2026-04-06
1022,7,SKU180,Delivered,2026-02-01,2026-02-06
1023,11,SKU415,Shipped,2026-03-28,2026-04-02
1024,1,SKU390,Processing,2026-04-18,2026-04-23
1025,5,SKU205,Delivered,2026-01-12,2026-01-17
